ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,jiazi_idx,hac_maxlags,formula
000300.SH,ganzhi_day,壬申,金,16,-0.0018788032412094635,0.00016080668062183688,-0.0020396099218313005,8,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬申,水,17,0.001951848275580556,0.00016080668062183688,0.0017910415949587192,8,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬辰,木,16,-0.002017582557396007,0.00016080668062183688,-0.002178389238017844,28,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬辰,火,8,-0.0007009962167463319,0.00016080668062183688,-0.0008618028973681688,28,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬辰,土,8,0.0018183588286943423,0.00016080668062183688,0.0016575521480725053,28,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬辰,金,17,-0.0033309777339526397,0.00016080668062183688,-0.0034917844145744767,28,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,壬辰,水,17,0.0012459330585992533,0.00016080668062183688,0.0010851263779774164,28,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己丑,木,17,0.0008530942302455136,0.00016080668062183688,0.0006922875496236767,25,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己丑,火,7,0.0023855877756171102,0.00016080668062183688,0.0022247810949952733,25,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己丑,土,9,-0.003201847197707552,0.00016080668062183688,-0.003362653878329389,25,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己丑,金,15,0.002667879304472342,0.00016080668062183688,0.002507072623850505,25,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己丑,水,16,-0.0022500238159635665,0.00016080668062183688,-0.0024108304965854035,25,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己亥,木,14,0.0049958280984020624,0.00016080668062183688,0.0048350214177802255,35,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己亥,火,8,0.00316471515914992,0.00016080668062183688,0.003003908478528083,35,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己亥,土,8,0.007558622081589108,0.00016080668062183688,0.007397815400967271,35,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己亥,金,16,-0.00962470023748647,0.00016080668062183688,-0.009785506918108306,35,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己亥,水,17,0.0036393481394124444,0.00016080668062183688,0.0034785414587906074,35,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己卯,木,17,0.001121129280357743,0.00016080668062183688,0.0009603225997359062,15,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己卯,火,8,6.654712393770625e-05,0.00016080668062183688,-9.425955668413063e-05,15,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己卯,土,8,0.002298011581116364,0.00016080668062183688,0.0021372049004945272,15,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己卯,金,17,0.008257596052813183,0.00016080668062183688,0.008096789372191347,15,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己卯,水,18,-3.384047087018627e-05,0.00016080668062183688,-0.00019464715149202313,15,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己巳,木,17,-0.0062257836418013685,0.00016080668062183688,-0.0063865903224232055,5,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己巳,火,9,0.004397185289951782,0.00016080668062183688,0.004236378609329945,5,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己巳,土,8,-0.000498559117317629,0.00016080668062183688,-0.0006593657979394659,5,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己巳,金,16,0.0016332527297728263,0.00016080668062183688,0.0014724460491509894,5,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己巳,水,16,-0.00041427785517104493,0.00016080668062183688,-0.0005750845357928819,5,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己未,木,18,-0.00014785347410799094,0.00016080668062183688,-0.0003086601547298278,55,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己未,火,7,-0.0007075857513065436,0.00016080668062183688,-0.0008683924319283805,55,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己未,土,8,-0.00636676120272469,0.00016080668062183688,-0.006527567883346527,55,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,己未,金,17,-0.00020568717123105524,0.00016080668062183688,-0.0003664938518528921,55,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
