group_value,year_element,k_used,mean_effect,mean_effect_bp,sign_consistent_count,n_median,n_min,min_sign_required,pass_direction,abs_mean_bp
辛亥,土,4,0.0021652091438755,21.652091438755,4,8.0,8,3,True,21.652091438755
己酉,金,4,-0.00214753898274225,-21.4753898274225,4,16.0,16,3,True,21.4753898274225
癸亥,水,4,0.002136194803263125,21.36194803263125,4,16.0,16,3,True,21.36194803263125
甲戌,金,4,0.00213265540987985,21.3265540987985,4,18.0,18,3,True,21.3265540987985
甲戌,火,4,0.0021307708909582,21.307708909582,4,9.0,9,3,True,21.307708909582
癸未,土,4,-0.002125743684710975,-21.257436847109748,4,8.0,8,3,True,21.257436847109748
甲辰,水,4,-0.0020990292403682354,-20.990292403682353,3,18.0,18,3,True,20.990292403682353
癸亥,土,4,-0.0020490833788960753,-20.490833788960753,4,10.0,10,3,True,20.490833788960753
戊辰,金,4,-0.002018838650354875,-20.18838650354875,4,17.0,17,3,True,20.18838650354875
庚寅,火,4,-0.001987299741251625,-19.87299741251625,4,9.0,9,3,True,19.87299741251625
戊寅,火,4,0.0019779119162502906,19.779119162502905,3,8.0,8,3,True,19.779119162502905
壬寅,水,4,0.0019658808461904247,19.658808461904247,4,15.0,15,3,True,19.658808461904247
丙寅,金,4,-0.0019383731879027248,-19.38373187902725,4,17.0,17,3,True,19.38373187902725
癸酉,土,4,-0.001928166131787575,-19.28166131787575,4,6.0,6,3,True,19.28166131787575
乙未,水,4,-0.0019278594191662,-19.278594191662002,4,15.0,15,3,True,19.278594191662002
乙亥,金,4,-0.0018915062124712498,-18.9150621247125,4,16.0,16,3,True,18.9150621247125
庚申,土,4,-0.001868939476229125,-18.68939476229125,4,9.0,9,3,True,18.68939476229125
丙午,土,4,-0.0018540311664415313,-18.540311664415313,3,9.0,9,3,True,18.540311664415313
庚子,火,4,-0.0018344021090985344,-18.344021090985343,3,7.0,7,3,True,18.344021090985343
己丑,金,4,0.0018315475075584248,18.31547507558425,4,15.0,15,3,True,18.31547507558425
庚辰,水,4,-0.0018125902846629,-18.125902846629,3,17.0,17,3,True,18.125902846629
戊子,水,4,0.001801024853977586,18.01024853977586,3,15.0,15,3,True,18.01024853977586
戊寅,水,4,0.001796824432171175,17.96824432171175,3,17.0,17,3,True,17.96824432171175
辛亥,火,4,0.0017662050554469498,17.6620505544695,4,10.0,10,3,True,17.6620505544695
乙亥,土,4,-0.0017557813272476,-17.557813272476,3,8.0,8,3,True,17.557813272476
乙巳,水,4,-0.001731938978591825,-17.31938978591825,4,17.0,17,3,True,17.31938978591825
戊寅,金,4,0.0016943975416106,16.943975416106,4,18.0,18,3,True,16.943975416106
丙申,木,4,0.0016868400878195249,16.86840087819525,3,17.0,17,3,True,16.86840087819525
癸卯,火,4,-0.00162178288810865,-16.2178288810865,4,8.0,8,3,True,16.2178288810865
甲子,金,4,-0.001614933159441775,-16.14933159441775,4,18.0,18,3,True,16.14933159441775
丁巳,土,4,-0.0015385458725934499,-15.385458725934498,4,10.0,10,3,True,15.385458725934498
己卯,火,4,-0.0015095764835198827,-15.095764835198827,4,8.0,8,3,True,15.095764835198827
壬辰,土,4,0.0014901649115937,14.901649115937,4,8.0,8,3,True,14.901649115937
庚寅,土,4,-0.0014850894396293748,-14.850894396293748,4,8.0,8,3,True,14.850894396293748
癸巳,木,4,0.001475896535185275,14.75896535185275,4,17.0,17,3,True,14.75896535185275
丙戌,金,4,-0.00147505623709705,-14.750562370970501,4,16.0,16,3,True,14.750562370970501
丁未,水,4,0.0014354896586154142,14.354896586154142,4,17.0,17,3,True,14.354896586154142
壬戌,土,4,-0.0014324029172694248,-14.324029172694248,3,9.0,9,3,True,14.324029172694248
庚戌,金,4,0.001418272206142275,14.182722061422751,3,18.0,18,3,True,14.182722061422751
